Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
,,,,,,,
Test Cases/Admin/User Login Empty,,,,2021-08-30 16:37:13,2021-08-30 16:37:14,"1,466s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":"""", ""password"":""""]))",,,,2021-08-30 16:37:13,2021-08-30 16:37:14,"1,157s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-08-30 16:37:14,2021-08-30 16:37:14,"0,016s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""username must not be empty"")",,,,2021-08-30 16:37:14,2021-08-30 16:37:14,"0,031s",PASSED
,,,,,,,
Test Cases/Admin/User Login Invalid Password,,,,2021-08-30 16:37:14,2021-08-30 16:37:15,"1,270s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":username, ""password"":inpassword]))",,,,2021-08-30 16:37:14,2021-08-30 16:37:15,"0,913s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-08-30 16:37:15,2021-08-30 16:37:15,"0,005s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""Credentials Are Wrong Please Try Again"")",,,,2021-08-30 16:37:15,2021-08-30 16:37:15,"0,022s",PASSED
,,,,,,,
Test Cases/Admin/User Login Invalid Username,,,,2021-08-30 16:37:15,2021-08-30 16:37:17,"1,327s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":inusername, ""password"":password]))",,,,2021-08-30 16:37:16,2021-08-30 16:37:17,"1,011s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-08-30 16:37:17,2021-08-30 16:37:17,"0,010s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""Credentials Are Wrong Please Try Again"")",,,,2021-08-30 16:37:17,2021-08-30 16:37:17,"0,031s",PASSED
,,,,,,,
Test Cases/Admin/User Login,,,,2021-08-30 16:37:17,2021-08-30 16:37:21,"4,550s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":username, ""password"":password]))",,,,2021-08-30 16:37:17,2021-08-30 16:37:21,"4,092s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 16:37:21,2021-08-30 16:37:21,"0,000s",PASSED
"verifyElementPropertyValue(response, ""user.userRole"", ""Admin"")",,,,2021-08-30 16:37:21,2021-08-30 16:37:21,"0,025s",PASSED
"verifyElementPropertyValue(response, ""user.status"", ""Enabled"")",,,,2021-08-30 16:37:21,2021-08-30 16:37:21,"0,016s",PASSED
"verifyElementPropertyValue(response, ""user.employeeName"", ""Zidan Aqila Muhammad"")",,,,2021-08-30 16:37:21,2021-08-30 16:37:21,"0,015s",PASSED
,,,,,,,
Test Cases/Attandance/Punch In Empty,,,,2021-08-30 16:37:21,2021-08-30 16:37:22,"0,856s",PASSED
"response = sendRequest(findTestObject(""Attendance/Punch In"", [""timezone"":"""", ""note"":"""", ""datetime"":""""]))",,,,2021-08-30 16:37:21,2021-08-30 16:37:22,"0,543s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-08-30 16:37:22,2021-08-30 16:37:22,"0,016s",PASSED
"verifyElementPropertyValue(response, ""success"", ""null"")",,,,2021-08-30 16:37:22,2021-08-30 16:37:22,"0,046s",PASSED
,,,,,,,
Test Cases/Attandance/Punch In,,,,2021-08-30 16:37:22,2021-08-30 16:37:23,"0,918s",PASSED
"response = sendRequest(findTestObject(""Attendance/Punch In"", [""timezone"":timezone, ""note"":notePi, ""datetime"":datetime]))",,,,2021-08-30 16:37:22,2021-08-30 16:37:23,"0,634s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 16:37:23,2021-08-30 16:37:23,"0,007s",PASSED
"verifyElementPropertyValue(response, ""success"", ""Successfully Punched In"")",,,,2021-08-30 16:37:23,2021-08-30 16:37:23,"0,016s",PASSED
,,,,,,,
Test Cases/Attandance/Punch Out Empty,,,,2021-08-30 16:37:23,2021-08-30 16:37:27,"4,013s",PASSED
"response = sendRequest(findTestObject(""Attendance/Punch Out"", [""timezone"":"""", ""note"":"""", ""datetime"":""""]))",,,,2021-08-30 16:37:23,2021-08-30 16:37:27,"3,699s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-08-30 16:37:27,2021-08-30 16:37:27,"0,000s",PASSED
"verifyElementPropertyValue(response, ""success"", ""null"")",,,,2021-08-30 16:37:27,2021-08-30 16:37:27,"0,016s",PASSED
,,,,,,,
Test Cases/Attandance/Punch Out,,,,2021-08-30 16:37:27,2021-08-30 16:37:29,"1,710s",PASSED
"response = sendRequest(findTestObject(""Attendance/Punch Out"", [""timezone"":timezone, ""note"":notePi, ""datetime"":datetime]))",,,,2021-08-30 16:37:27,2021-08-30 16:37:29,"1,337s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 16:37:29,2021-08-30 16:37:29,"0,002s",PASSED
"verifyElementPropertyValue(response, ""success"", ""Successfully Punched Out"")",,,,2021-08-30 16:37:29,2021-08-30 16:37:29,"0,030s",PASSED
,,,,,,,
Test Cases/Employee/Employee Detail Id Not List,,,,2021-08-30 16:37:29,2021-08-30 16:37:30,"0,839s",PASSED
"response = sendRequest(findTestObject(""Employee/Employee Detail"", [""id"":inid]))",,,,2021-08-30 16:37:29,2021-08-30 16:37:30,"0,530s",PASSED
"verifyResponseStatusCode(response, 404)",,,,2021-08-30 16:37:30,2021-08-30 16:37:30,"0,000s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""Employee Not Found"")",,,,2021-08-30 16:37:30,2021-08-30 16:37:30,"0,016s",PASSED
,,,,,,,
Test Cases/Employee/Employee Detail,,,,2021-08-30 16:37:30,2021-08-30 16:37:31,"1,035s",PASSED
"response = sendRequest(findTestObject(""Employee/Employee Detail"", [""tokenaut"":tokenaut, ""url"":url, ""id"":id]))",,,,2021-08-30 16:37:30,2021-08-30 16:37:30,"0,602s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 16:37:30,2021-08-30 16:37:30,"0,016s",PASSED
"verifyElementPropertyValue(response, ""data.firstName"", ""William"")",,,,2021-08-30 16:37:30,2021-08-30 16:37:30,"0,044s",PASSED
"verifyElementPropertyValue(response, ""data.middleName"", ""Faisal"")",,,,2021-08-30 16:37:30,2021-08-30 16:37:31,"0,026s",PASSED
"verifyElementPropertyValue(response, ""data.lastName"", ""Mustafa"")",,,,2021-08-30 16:37:31,2021-08-30 16:37:31,"0,016s",PASSED
"verifyElementPropertyValue(response, ""data.code"", ""0002"")",,,,2021-08-30 16:37:31,2021-08-30 16:37:31,"0,016s",PASSED
"verifyElementPropertyValue(response, ""data.fullName"", ""William Faisal Mustafa"")",,,,2021-08-30 16:37:31,2021-08-30 16:37:31,"0,018s",PASSED
,,,,,,,
Test Cases/Employee/Save Employee Code Exists,,,,2021-08-30 16:37:31,2021-08-30 16:37:32,"1,152s",PASSED
"response = sendRequest(findTestObject(""Employee/Save Employee""))",,,,2021-08-30 16:37:31,2021-08-30 16:37:32,"0,849s",PASSED
"verifyResponseStatusCode(response, 400)",,,,2021-08-30 16:37:32,2021-08-30 16:37:32,"0,000s",PASSED
"verifyElementPropertyValue(response, ""error[0]"", ""Failed To Save: Employee Code Exists"")",,,,2021-08-30 16:37:32,2021-08-30 16:37:32,"0,015s",PASSED
,,,,,,,
Test Cases/Employee/Save Employee,,,,2021-08-30 16:37:32,2021-08-30 16:37:33,"1,186s",FAILED
"response = sendRequest(findTestObject(""Employee/Save Employee""))",,,,2021-08-30 16:37:32,2021-08-30 16:37:33,"0,800s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 16:37:33,2021-08-30 16:37:33,"0,030s",FAILED
