Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Main Suites,,One Flow Test Cases,,2021-08-30 16:36:45,2021-08-30 16:37:33,"48,273s",FAILED
,,,,,,,
Test Cases/Admin/Get Organization Information,,,,2021-08-30 16:36:45,2021-08-30 16:36:58,"12,762s",PASSED
"response = sendRequest(findTestObject(""Admin/Get Organizations"", [""tokenaut"":tokenaut, ""url"":url]))",,,,2021-08-30 16:36:46,2021-08-30 16:36:58,"12,080s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 16:36:58,2021-08-30 16:36:58,"0,025s",PASSED
"verifyElementPropertyValue(response, ""data.name"", ""Sekolah QA"")",,,,2021-08-30 16:36:58,2021-08-30 16:36:58,"0,125s",PASSED
"verifyElementPropertyValue(response, ""data.numberOfEmployees"", 135)",,,,2021-08-30 16:36:58,2021-08-30 16:36:58,"0,039s",PASSED
,,,,,,,
Test Cases/Admin/Get User,,,,2021-08-30 16:36:58,2021-08-30 16:37:11,"12,920s",PASSED
"response = sendRequest(findTestObject(""Admin/Get Users"", [""tokenaut"":tokenaut, ""url"":url]))",,,,2021-08-30 16:36:58,2021-08-30 16:37:11,"12,556s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 16:37:11,2021-08-30 16:37:11,"0,009s",PASSED
"verifyElementPropertyValue(response, ""data[0].employeeName"", ""Zidan Aqila Muhammad"")",,,,2021-08-30 16:37:11,2021-08-30 16:37:11,"0,023s",PASSED
"verifyElementPropertyValue(response, ""data[1].employeeName"", ""asdw sasd ok"")",,,,2021-08-30 16:37:11,2021-08-30 16:37:11,"0,022s",PASSED
,,,,,,,
Test Cases/Admin/User Login Empty Password,,,,2021-08-30 16:37:11,2021-08-30 16:37:12,"0,956s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":username, ""password"":""""]))",,,,2021-08-30 16:37:11,2021-08-30 16:37:12,"0,641s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-08-30 16:37:12,2021-08-30 16:37:12,"0,003s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""password must not be empty"")",,,,2021-08-30 16:37:12,2021-08-30 16:37:12,"0,015s",PASSED
,,,,,,,
Test Cases/Admin/User Login Empty Username,,,,2021-08-30 16:37:12,2021-08-30 16:37:13,"0,827s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":"""", ""password"":password]))",,,,2021-08-30 16:37:12,2021-08-30 16:37:12,"0,472s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-08-30 16:37:12,2021-08-30 16:37:13,"0,003s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""username must not be empty"")",,,,2021-08-30 16:37:13,2021-08-30 16:37:13,"0,023s",PASSED
