Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Main Suites,,One Flow Test Cases,,2021-08-30 17:40:25,2021-08-30 17:40:52,"26,809s",PASSED
,,,,,,,
Test Cases/Admin/Get Organization Information,,,,2021-08-30 17:40:26,2021-08-30 17:40:30,"4,002s",PASSED
"response = sendRequest(findTestObject(""Admin/Get Organizations""))",,,,2021-08-30 17:40:27,2021-08-30 17:40:30,"3,239s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 17:40:30,2021-08-30 17:40:30,"0,033s",PASSED
"verifyElementPropertyValue(response, ""data.name"", ""Sekolah QA"")",,,,2021-08-30 17:40:30,2021-08-30 17:40:30,"0,118s",PASSED
"verifyElementPropertyValue(response, ""data.id"", 1)",,,,2021-08-30 17:40:30,2021-08-30 17:40:30,"0,053s",PASSED
,,,,,,,
Test Cases/Admin/Get User,,,,2021-08-30 17:40:30,2021-08-30 17:40:31,"0,915s",PASSED
"response = sendRequest(findTestObject(""Admin/Get Users""))",,,,2021-08-30 17:40:30,2021-08-30 17:40:31,"0,339s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 17:40:31,2021-08-30 17:40:31,"0,006s",PASSED
"verifyElementPropertyValue(response, ""data[0].employeeName"", ""Zidan Aqila Muhammad"")",,,,2021-08-30 17:40:31,2021-08-30 17:40:31,"0,030s",PASSED
"verifyElementPropertyValue(response, ""data[1].employeeName"", ""asdw sasd ok"")",,,,2021-08-30 17:40:31,2021-08-30 17:40:31,"0,035s",PASSED
,,,,,,,
Test Cases/Admin/User Login Empty Password,,,,2021-08-30 17:40:31,2021-08-30 17:40:35,"3,796s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":username, ""password"":""""]))",,,,2021-08-30 17:40:31,2021-08-30 17:40:35,"3,439s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-08-30 17:40:35,2021-08-30 17:40:35,"0,008s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""password must not be empty"")",,,,2021-08-30 17:40:35,2021-08-30 17:40:35,"0,036s",PASSED
,,,,,,,
Test Cases/Admin/User Login Empty Username,,,,2021-08-30 17:40:35,2021-08-30 17:40:36,"0,802s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":"""", ""password"":password]))",,,,2021-08-30 17:40:35,2021-08-30 17:40:35,"0,456s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-08-30 17:40:35,2021-08-30 17:40:35,"0,000s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""username must not be empty"")",,,,2021-08-30 17:40:35,2021-08-30 17:40:36,"0,027s",PASSED
,,,,,,,
Test Cases/Admin/User Login Empty,,,,2021-08-30 17:40:36,2021-08-30 17:40:36,"0,685s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":"""", ""password"":""""]))",,,,2021-08-30 17:40:36,2021-08-30 17:40:36,"0,396s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-08-30 17:40:36,2021-08-30 17:40:36,"0,000s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""username must not be empty"")",,,,2021-08-30 17:40:36,2021-08-30 17:40:36,"0,047s",PASSED
,,,,,,,
Test Cases/Admin/User Login Invalid Password,,,,2021-08-30 17:40:36,2021-08-30 17:40:37,"0,915s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":username, ""password"":inpassword]))",,,,2021-08-30 17:40:36,2021-08-30 17:40:37,"0,593s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-08-30 17:40:37,2021-08-30 17:40:37,"0,007s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""Credentials Are Wrong Please Try Again"")",,,,2021-08-30 17:40:37,2021-08-30 17:40:37,"0,034s",PASSED
,,,,,,,
Test Cases/Admin/User Login Invalid Username,,,,2021-08-30 17:40:37,2021-08-30 17:40:38,"0,628s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":inusername, ""password"":password]))",,,,2021-08-30 17:40:37,2021-08-30 17:40:38,"0,358s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-08-30 17:40:38,2021-08-30 17:40:38,"0,000s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""Credentials Are Wrong Please Try Again"")",,,,2021-08-30 17:40:38,2021-08-30 17:40:38,"0,018s",PASSED
,,,,,,,
Test Cases/Admin/User Login,,,,2021-08-30 17:40:38,2021-08-30 17:40:39,"1,034s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login""))",,,,2021-08-30 17:40:38,2021-08-30 17:40:39,"0,664s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 17:40:39,2021-08-30 17:40:39,"0,001s",PASSED
"verifyElementPropertyValue(response, ""user.userRole"", ""Admin"")",,,,2021-08-30 17:40:39,2021-08-30 17:40:39,"0,044s",PASSED
"verifyElementPropertyValue(response, ""user.status"", ""Enabled"")",,,,2021-08-30 17:40:39,2021-08-30 17:40:39,"0,020s",PASSED
"verifyElementPropertyValue(response, ""user.employeeName"", ""Zidan Aqila Muhammad"")",,,,2021-08-30 17:40:39,2021-08-30 17:40:39,"0,026s",PASSED
,,,,,,,
Test Cases/Attandance/Punch In Empty,,,,2021-08-30 17:40:39,2021-08-30 17:40:42,"3,699s",PASSED
"response = sendRequest(findTestObject(""Attendance/Punch In"", [""timezone"":"""", ""note"":"""", ""datetime"":""""]))",,,,2021-08-30 17:40:39,2021-08-30 17:40:42,"3,396s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-08-30 17:40:42,2021-08-30 17:40:42,"0,011s",PASSED
"verifyElementPropertyValue(response, ""success"", ""null"")",,,,2021-08-30 17:40:42,2021-08-30 17:40:42,"0,052s",PASSED
,,,,,,,
Test Cases/Attandance/Punch In,,,,2021-08-30 17:40:42,2021-08-30 17:40:43,"0,676s",PASSED
