Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"response = sendRequest(findTestObject(""Attendance/Punch In"", [""timezone"":timezone, ""note"":notePi, ""datetime"":datetime]))",,,,2021-08-30 17:40:43,2021-08-30 17:40:43,"0,370s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 17:40:43,2021-08-30 17:40:43,"0,018s",PASSED
"verifyElementPropertyValue(response, ""success"", ""Successfully Punched In"")",,,,2021-08-30 17:40:43,2021-08-30 17:40:43,"0,041s",PASSED
,,,,,,,
Test Cases/Attandance/Punch Out Empty,,,,2021-08-30 17:40:43,2021-08-30 17:40:44,"0,757s",PASSED
"response = sendRequest(findTestObject(""Attendance/Punch Out"", [""timezone"":"""", ""note"":"""", ""datetime"":""""]))",,,,2021-08-30 17:40:43,2021-08-30 17:40:44,"0,436s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-08-30 17:40:44,2021-08-30 17:40:44,"0,003s",PASSED
"verifyElementPropertyValue(response, ""success"", ""null"")",,,,2021-08-30 17:40:44,2021-08-30 17:40:44,"0,050s",PASSED
,,,,,,,
Test Cases/Attandance/Punch Out,,,,2021-08-30 17:40:44,2021-08-30 17:40:45,"1,071s",PASSED
"response = sendRequest(findTestObject(""Attendance/Punch Out"", [""timezone"":timezone, ""note"":notePi, ""datetime"":datetime]))",,,,2021-08-30 17:40:44,2021-08-30 17:40:45,"0,779s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 17:40:45,2021-08-30 17:40:45,"0,007s",PASSED
"verifyElementPropertyValue(response, ""success"", ""Successfully Punched Out"")",,,,2021-08-30 17:40:45,2021-08-30 17:40:45,"0,058s",PASSED
,,,,,,,
Test Cases/Employee/Employee Detail Id Not List,,,,2021-08-30 17:40:45,2021-08-30 17:40:46,"1,078s",PASSED
"response = sendRequest(findTestObject(""Employee/Employee Detail"", [""id"":inid]))",,,,2021-08-30 17:40:45,2021-08-30 17:40:46,"0,751s",PASSED
"verifyResponseStatusCode(response, 404)",,,,2021-08-30 17:40:46,2021-08-30 17:40:46,"0,000s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""Employee Not Found"")",,,,2021-08-30 17:40:46,2021-08-30 17:40:46,"0,059s",PASSED
,,,,,,,
Test Cases/Employee/Employee Detail,,,,2021-08-30 17:40:46,2021-08-30 17:40:47,"0,795s",PASSED
"response = sendRequest(findTestObject(""Employee/Employee Detail"", [""tokenaut"":tokenaut, ""url"":url, ""id"":id]))",,,,2021-08-30 17:40:46,2021-08-30 17:40:47,"0,354s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 17:40:47,2021-08-30 17:40:47,"0,000s",PASSED
"verifyElementPropertyValue(response, ""data.firstName"", ""William"")",,,,2021-08-30 17:40:47,2021-08-30 17:40:47,"0,063s",PASSED
"verifyElementPropertyValue(response, ""data.middleName"", ""Faisal"")",,,,2021-08-30 17:40:47,2021-08-30 17:40:47,"0,036s",PASSED
"verifyElementPropertyValue(response, ""data.lastName"", ""Mustafa"")",,,,2021-08-30 17:40:47,2021-08-30 17:40:47,"0,023s",PASSED
"verifyElementPropertyValue(response, ""data.code"", ""0002"")",,,,2021-08-30 17:40:47,2021-08-30 17:40:47,"0,022s",PASSED
"verifyElementPropertyValue(response, ""data.fullName"", ""William Faisal Mustafa"")",,,,2021-08-30 17:40:47,2021-08-30 17:40:47,"0,030s",PASSED
,,,,,,,
Test Cases/Employee/Save Employee Code Exists,,,,2021-08-30 17:40:47,2021-08-30 17:40:48,"0,651s",PASSED
"response = sendRequest(findTestObject(""Employee/Save Employee""))",,,,2021-08-30 17:40:47,2021-08-30 17:40:48,"0,324s",PASSED
"verifyResponseStatusCode(response, 400)",,,,2021-08-30 17:40:48,2021-08-30 17:40:48,"0,003s",PASSED
"verifyElementPropertyValue(response, ""error[0]"", ""Failed To Save: Employee Code Exists"")",,,,2021-08-30 17:40:48,2021-08-30 17:40:48,"0,036s",PASSED
,,,,,,,
Test Cases/Employee/Save Employee,,,,2021-08-30 17:40:48,2021-08-30 17:40:52,"3,928s",PASSED
code = Math.abs(Random().nextInt() % 800 + 400),,,,2021-08-30 17:40:48,2021-08-30 17:40:48,"0,012s",PASSED
ncode = code,,,,2021-08-30 17:40:48,2021-08-30 17:40:48,"0,003s",PASSED
delay(3),,,,2021-08-30 17:40:48,2021-08-30 17:40:51,"3,029s",PASSED
"response = sendRequest(findTestObject(""Employee/Save Employee"", [""code"":ncode]))",,,,2021-08-30 17:40:51,2021-08-30 17:40:51,"0,589s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 17:40:51,2021-08-30 17:40:51,"0,011s",PASSED
"verifyElementPropertyValue(response, ""success"", ""Successfully Saved"")",,,,2021-08-30 17:40:51,2021-08-30 17:40:52,"0,031s",PASSED
,,,,,,,
Test Cases/Employee/Update Employee Detail,,To update employee detail,,2021-08-30 17:40:52,2021-08-30 17:40:52,"0,785s",PASSED
"response = sendRequest(findTestObject(""Employee/Update Employee Detail""))",,,,2021-08-30 17:40:52,2021-08-30 17:40:52,"0,492s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-08-30 17:40:52,2021-08-30 17:40:52,"0,000s",PASSED
"verifyElementPropertyValue(response, ""success"", ""Successfully Updated"")",,,,2021-08-30 17:40:52,2021-08-30 17:40:52,"0,050s",PASSED
